UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
AXIS202606041842101,849144969673,3072161,INR,2026-05-30T23:53:02.335Z,AXIS,ORD-923732163FE3,SETTLED
AXIS202606040538278,301631359450,93209,INR,2026-06-03T03:53:02.335Z,AXIS,ORD-EA9938A033AE,SETTLED
AXIS202606045798620,546510228549,4956130,INR,2026-06-03T12:53:02.335Z,AXIS,ORD-54BF35B3A5F9,SETTLED
AXIS202606045022230,298789385074,2669986,INR,2026-06-01T01:53:02.336Z,AXIS,ORD-59A9F53A6070,SETTLED
AXIS202606044128473,857516379886,4543627,INR,2026-06-04T01:53:02.336Z,AXIS,ORD-3D8987255210,SETTLED
AXIS202606043834019,770942395550,1132276,INR,2026-05-29T11:53:02.336Z,AXIS,ORD-4C2BA5C4E7F2,SETTLED
AXIS202606040546620,466092280954,4070843,INR,2026-05-31T18:53:02.336Z,AXIS,ORD-3EBC472A0835,SETTLED
AXIS202606042632874,230706017788,4034036,INR,2026-05-31T20:53:02.336Z,AXIS,ORD-3B61B8EF0003,SETTLED
AXIS202606044584006,873842615267,3149444,INR,2026-06-01T21:53:02.336Z,AXIS,ORD-B1DDCD120DC9,SETTLED
AXIS202606047572196,040288846213,1472450,INR,2026-06-01T14:53:02.336Z,AXIS,ORD-40C4B18F4569,SETTLED
AXIS202606045985526,915177680413,3712078,INR,2026-06-03T14:53:02.336Z,AXIS,ORD-6A8FBE1B1BA1,SETTLED
AXIS202606049480774,991285956111,2345612,INR,2026-06-01T18:53:02.336Z,AXIS,ORD-ABD30CBD6611,SETTLED
AXIS202606041015811,078344519884,1096818,INR,2026-05-29T21:53:02.336Z,AXIS,ORD-0DD843BA25F6,SETTLED
AXIS202606049163866,345574498213,297555,INR,2026-06-01T07:53:02.336Z,AXIS,ORD-C96B3131B43E,SETTLED
AXIS202606044170801,630640751754,2963434,INR,2026-06-02T07:53:02.336Z,AXIS,ORD-B65399E1D872,PENDING
AXIS202606041138567,172334221308,3661167,INR,2026-06-01T20:53:02.336Z,AXIS,ORD-63BFAAC5C6FC,SETTLED
AXIS202606047923560,154099817718,4141480,INR,2026-05-29T14:53:02.336Z,AXIS,ORD-482B07195951,SETTLED
AXIS202606045830913,540043515266,1901333,INR,2026-06-02T15:53:02.336Z,AXIS,ORD-5E0B3F703EEF,SETTLED
AXIS202606040797090,689300595799,90600,INR,2026-06-03T16:53:02.336Z,AXIS,ORD-E58630A0BD37,PENDING
AXIS202606040225017,849168043048,1971496,INR,2026-06-03T03:53:02.336Z,AXIS,ORD-A9F1CABFFC6F,SETTLED
AXIS202606043068321,153797665030,3989807,INR,2026-05-30T04:53:02.336Z,AXIS,ORD-3A96C7C49811,SETTLED
AXIS202606043975523,033887615720,4443397,INR,2026-06-04T04:53:02.336Z,AXIS,ORD-4421EEC8C5ED,SETTLED
AXIS202606042813271,379077464465,2840785,INR,2026-05-31T00:53:02.336Z,AXIS,ORD-E1701FC90473,SETTLED
AXIS202606042948805,243665862007,340846,INR,2026-05-29T18:53:02.336Z,AXIS,ORD-51323A122C7D,SETTLED
AXIS202606043972712,946421627791,2537925,INR,2026-06-01T05:53:02.336Z,AXIS,ORD-6A4DFC0CA60E,SETTLED
AXIS202606043508325,703832623394,105707,INR,2026-05-31T23:53:02.336Z,AXIS,ORD-E0C41A7F6962,SETTLED
AXIS202606049007233,165583541859,925339,INR,2026-06-02T18:53:02.336Z,AXIS,ORD-6BF46BFBCD41,SETTLED
AXIS202606046776418,096615851524,3250901,INR,2026-06-02T23:53:02.336Z,AXIS,ORD-FDC31985BDA5,SETTLED
AXIS202606049050574,612906520044,2399177,INR,2026-06-04T10:53:02.336Z,AXIS,ORD-B49C2C29998B,SETTLED
AXIS202606047437391,200555392425,3865414,INR,2026-05-30T02:53:02.336Z,AXIS,ORD-99D6515D94A7,SETTLED
AXIS202606044495530,137292008447,3366334,INR,2026-06-01T10:53:02.336Z,AXIS,ORD-7B7201FDFA53,SETTLED
AXIS202606042118241,655578431945,4714783,INR,2026-06-01T17:53:02.336Z,AXIS,ORD-BED7791B8B49,SETTLED
AXIS202606042192178,637628533038,3790300,INR,2026-06-04T05:53:02.336Z,AXIS,ORD-222275081E32,SETTLED
AXIS202606040629799,610556102184,3217896,INR,2026-06-03T00:53:02.336Z,AXIS,ORD-2B8A1ADACDE0,SETTLED
AXIS202606044667160,139768069183,4005400,INR,2026-05-30T06:53:02.336Z,AXIS,ORD-8283F8AF9116,SETTLED
AXIS202606047562537,481004835213,2749171,INR,2026-05-29T16:53:02.336Z,AXIS,ORD-150A8F6866AA,SETTLED
AXIS202606042913169,830798969566,1713115,INR,2026-05-31T02:53:02.336Z,AXIS,ORD-910FD9186D49,SETTLED
