UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
HDFC202606046261731,470983754455,82000,INR,2026-06-04T18:21:46.498Z,HDFC,ORD-DEMO-AE7E39E17CDD7E44F7E6FCB5,SETTLED
HDFC202606041783230,904026949010,89311,INR,2026-06-04T18:21:46.637Z,HDFC,ORD-DEMO-049802013AB71ACA2036E927,SETTLED
HDFC202606045854328,565222368580,96622,INR,2026-06-04T18:21:46.774Z,HDFC,ORD-DEMO-B1A73556E756B1FD641FB67F,SETTLED
HDFC202606043859837,156365734747,103933,INR,2026-06-04T18:21:46.910Z,HDFC,ORD-DEMO-867F942AD736D9CB790592B0,SETTLED
HDFC202606042467782,095495392595,111244,INR,2026-06-04T18:21:47.044Z,HDFC,ORD-DEMO-95C2B9A7C81073E2AA15DC82,SETTLED
HDFC202606046826564,112588961786,118555,INR,2026-06-04T18:21:47.198Z,HDFC,ORD-DEMO-8AEF06183437975EB93BFD43,SETTLED
HDFC202606041715716,634439776338,125866,INR,2026-06-04T18:21:47.344Z,HDFC,ORD-DEMO-28B183CC918954EF86A764E2,SETTLED
HDFC202606046457157,258550556884,133177,INR,2026-06-04T18:21:47.484Z,HDFC,ORD-DEMO-61BFAD2DF8241F8AEE20DC56,SETTLED
ICICI202606044810083,756835338042,124000,INR,2026-06-04T17:21:47.632Z,ICICI,ORD-DEMO-9E415E12A8435742897BE76B,SETTLED
ICICI202606045341013,006135497517,131311,INR,2026-06-04T17:10:47.785Z,ICICI,ORD-DEMO-0209AAEFF5E4149807213B94,SETTLED
ICICI202606041404975,590466941381,138622,INR,2026-06-04T16:59:47.934Z,ICICI,ORD-DEMO-2E3DD411CCFB5A7005A713FB,SETTLED
ICICI202606040310279,923282323647,145933,INR,2026-06-04T16:48:48.082Z,ICICI,ORD-DEMO-70010CA91258BF0D4BDC73AD,SETTLED
AXIS202606048883042,752826310465,158800,INR,2026-06-04T18:21:48.229Z,AXIS,ORD-DEMO-B3DE4DE9D340FECE9F20073C,SETTLED
AXIS202606049446225,197139264601,166036,INR,2026-06-04T18:10:48.378Z,AXIS,ORD-DEMO-CBDC53F5FE07F23156EF7DA6,SETTLED
AXIS202606043584233,225937284705,173272,INR,2026-06-04T17:59:48.525Z,AXIS,ORD-DEMO-C47572B2D544BCBC865F27D0,SETTLED
AXIS202606049355932,122087214646,180508,INR,2026-06-04T17:48:48.676Z,AXIS,ORD-DEMO-658F39BB3E239A2CB6A92EB3,SETTLED
SBI202606046002703,322099903887,54000,INR,2026-06-04T18:21:48.676Z,SBI,BANK-ONLY-CA401BD4382D,SETTLED
SBI202606044916192,013772150576,61311,INR,2026-06-04T18:21:48.676Z,SBI,BANK-ONLY-2D21B922F1C9,SETTLED
SBI202606043590588,128567751737,68622,INR,2026-06-04T18:21:48.676Z,SBI,BANK-ONLY-AEADDE4B1A8E,SETTLED
SBI202606047720271,124860165052,75933,INR,2026-06-04T18:21:48.676Z,SBI,BANK-ONLY-33CD842B7209,SETTLED
AXIS202606048253007,059810875930,3293475,INR,2026-06-04T18:21:49.252Z,ICICI,NOISE-9B9532C4025A20E6,SETTLED
KOTAK202606045796581,622602197026,2616273,INR,2026-06-04T18:21:49.252Z,KOTAK,NOISE-01B066A6470F192A,SETTLED
KOTAK202606045165042,376963810181,1827879,INR,2026-06-04T18:21:49.252Z,AXIS,NOISE-B770ADAAF1DDD636,SETTLED
SBI202606043428062,869514656846,4960604,INR,2026-06-04T18:21:49.252Z,AXIS,NOISE-F50A69BB6BE65B6B,SETTLED
ICICI202606048582372,825299014613,412440,INR,2026-06-04T18:21:49.252Z,HDFC,NOISE-660D7C28561F9319,SETTLED
AXIS202606049026668,224281099974,2225296,INR,2026-06-04T18:21:49.252Z,SBI,NOISE-E5A8FB32BEF72F77,SETTLED
ICICI202606049421159,830111959268,1683853,INR,2026-06-04T18:21:49.252Z,ICICI,NOISE-17645F8CA40435CF,SETTLED
KOTAK202606042940846,739217365678,2169906,INR,2026-06-04T18:21:49.252Z,SBI,NOISE-45F96E6A9DA9E7C9,SETTLED
SBI202606044543161,003199765994,2410830,INR,2026-06-04T18:21:49.252Z,KOTAK,NOISE-8AC30C9ECDDB3CD4,SETTLED
AXIS202606045454116,390232852343,1171202,INR,2026-06-04T18:21:49.252Z,ICICI,NOISE-1139BFEA826DBDA3,SETTLED
HDFC202606047391970,572458261768,1048560,INR,2026-06-04T18:21:49.252Z,ICICI,NOISE-4B8C3F9F0A3A84A0,SETTLED
HDFC202606047599602,873626732392,4749436,INR,2026-06-04T18:21:49.252Z,HDFC,NOISE-9B4606789EC43B2B,SETTLED
SBI202606045312466,217792563336,1254171,INR,2026-06-04T18:21:49.252Z,SBI,NOISE-14DD7E9F763EE7EB,SETTLED
KOTAK202606041548533,477165213216,513465,INR,2026-06-04T18:21:49.252Z,SBI,NOISE-0C1CCAA5129C2419,SETTLED
AXIS202606042270681,931884612495,2150170,INR,2026-06-04T18:21:49.252Z,ICICI,NOISE-36CA5A27EF07EDE9,SETTLED
KOTAK202606042957890,351888388920,316096,INR,2026-06-04T18:21:49.252Z,SBI,NOISE-A0AEE560ACC350BB,SETTLED
