UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
HDFC202605232700210,139880941655,3146327,INR,2026-05-18T06:53:57.530Z,HDFC,ORD-39ADBF0EA778,SETTLED
HDFC202605239879136,000365800755,3160903,INR,2026-05-22T15:53:57.530Z,HDFC,ORD-5699988E993A,SETTLED
HDFC202605233143552,042507507216,1513470,INR,2026-05-18T18:53:57.530Z,HDFC,ORD-90BF5811CA5A,SETTLED
HDFC202605231424575,912897545445,4463525,INR,2026-05-17T23:53:57.530Z,HDFC,ORD-ADC6817A43A8,SETTLED
HDFC202605236014824,726048790773,4435002,INR,2026-05-17T21:53:57.530Z,HDFC,ORD-AD13032F539B,SETTLED
HDFC202605232657697,279504824372,1464856,INR,2026-05-18T09:53:57.530Z,HDFC,ORD-8127ED0944F0,PENDING
HDFC202605234252203,417853834570,237060,INR,2026-05-21T04:53:57.530Z,HDFC,ORD-22965D2CA1EF,SETTLED
HDFC202605237466336,614475660211,265905,INR,2026-05-21T09:53:57.531Z,HDFC,ORD-9EB7F838C4D3,SETTLED
HDFC202605238551706,510932639716,3087276,INR,2026-05-19T04:53:57.531Z,HDFC,ORD-840489AC7807,SETTLED
HDFC202605238415861,565909562573,2611617,INR,2026-05-17T17:53:57.531Z,HDFC,ORD-90558E3449FF,SETTLED
HDFC202605233314440,639834854905,3755296,INR,2026-05-18T17:53:57.531Z,HDFC,ORD-DA6E08D356B5,SETTLED
HDFC202605231482798,766945119391,4686887,INR,2026-05-19T14:53:57.531Z,HDFC,ORD-C3D7ACA6FAD3,SETTLED
HDFC202605231552194,028882371804,1364476,INR,2026-05-22T05:53:57.531Z,HDFC,ORD-D3D619A1DB69,SETTLED
HDFC202605237260796,639678774625,3626179,INR,2026-05-18T18:53:57.531Z,HDFC,ORD-9462E91C6E1F,PENDING
HDFC202605239066228,673977292491,3619399,INR,2026-05-22T12:53:57.531Z,HDFC,ORD-EB8806CD7620,SETTLED
HDFC202605239560032,909463669940,1856161,INR,2026-05-19T20:53:57.531Z,HDFC,ORD-39B5A4904C6D,SETTLED
HDFC202605233605630,658090724946,3542675,INR,2026-05-20T16:53:57.531Z,HDFC,ORD-032034244D2D,SETTLED
HDFC202605239107656,803872772906,1635893,INR,2026-05-18T00:53:57.531Z,HDFC,ORD-5EF1442849C8,SETTLED
HDFC202605235417400,692158453749,242830,INR,2026-05-19T14:53:57.531Z,HDFC,ORD-065413C6DAA7,SETTLED
HDFC202605236270403,767390639020,1751172,INR,2026-05-22T16:53:57.531Z,HDFC,ORD-A97C0F097500,SETTLED
HDFC202605239723735,836426478526,2668784,INR,2026-05-24T06:53:57.531Z,HDFC,ORD-1D3D099EBD9A,SETTLED
HDFC202605237455438,005109504522,1475368,INR,2026-05-21T09:53:57.531Z,HDFC,ORD-3D68D951D374,SETTLED
HDFC202605234520104,535805058379,1065676,INR,2026-05-22T02:53:57.531Z,HDFC,ORD-DA6CB9078F75,SETTLED
HDFC202605230903466,567937429634,2340950,INR,2026-05-18T11:53:57.531Z,HDFC,ORD-6EA460B93D0B,SETTLED
HDFC202605239335211,411500387185,3429354,INR,2026-05-21T05:53:57.531Z,HDFC,ORD-106A430C6D55,SETTLED
HDFC202605236482732,588141739635,3267552,INR,2026-05-24T06:53:57.531Z,HDFC,ORD-1DC1B21BE588,SETTLED
HDFC202605235338623,560767404700,4291095,INR,2026-05-20T21:53:57.531Z,HDFC,ORD-23D3FA3A8E2E,SETTLED
HDFC202605231053386,312778085267,3348842,INR,2026-05-19T11:53:57.531Z,HDFC,ORD-418639028CD5,SETTLED
HDFC202605237340731,057310272138,4734044,INR,2026-05-19T06:53:57.531Z,HDFC,ORD-AFDA15FB3540,SETTLED
HDFC202605234869907,180314846979,1541791,INR,2026-05-20T10:53:57.531Z,HDFC,ORD-5055810D7B54,SETTLED
HDFC202605233479706,064747702989,3126484,INR,2026-05-20T02:53:57.531Z,HDFC,ORD-CE3BE7EE5670,SETTLED
HDFC202605237795688,513733966326,1791160,INR,2026-05-19T20:53:57.531Z,HDFC,ORD-8B53E745CCF8,PENDING
HDFC202605236574571,067642298454,2638410,INR,2026-05-24T06:53:57.531Z,HDFC,ORD-523A7E5A8620,SETTLED
HDFC202605232311331,192489612512,4858018,INR,2026-05-19T14:53:57.531Z,HDFC,ORD-4B5D389D2975,PENDING
HDFC202605236723491,399815530463,2641481,INR,2026-05-22T02:53:57.531Z,HDFC,ORD-880957F68C48,PENDING
HDFC202605231677945,721284220640,3974227,INR,2026-05-20T21:53:57.531Z,HDFC,ORD-E8F6630B35BA,SETTLED
HDFC202605234174003,782208736924,4491251,INR,2026-05-17T10:53:57.532Z,HDFC,ORD-C472167AA88E,SETTLED
HDFC202605238540309,832140061544,4398154,INR,2026-05-20T16:53:57.532Z,HDFC,ORD-723AFF30C866,SETTLED
HDFC202605236603501,949225059647,190818,INR,2026-05-24T00:53:57.532Z,HDFC,ORD-8C29ED8EE039,SETTLED
HDFC202605234175618,034426404943,2180804,INR,2026-05-17T15:53:57.532Z,HDFC,ORD-CD19C8DD89BE,SETTLED
HDFC202605230706985,674029246930,2030307,INR,2026-05-18T09:53:57.532Z,HDFC,ORD-C917C1D9C3FE,SETTLED
HDFC202605237106919,045645093092,4272545,INR,2026-05-22T16:53:57.532Z,HDFC,ORD-54E09C6BD7B8,SETTLED
HDFC202605238710418,769023588127,2663373,INR,2026-05-22T22:53:57.532Z,HDFC,ORD-98E261EDABF9,SETTLED
HDFC202605233989763,368338035088,3244194,INR,2026-05-23T21:53:57.532Z,HDFC,ORD-29177BA0CBD7,SETTLED
HDFC202605239763367,314435890655,3614869,INR,2026-05-17T14:53:57.532Z,HDFC,ORD-636CD0F521BC,SETTLED
HDFC202605235223057,490333935576,46552,INR,2026-05-23T20:53:57.532Z,HDFC,ORD-BCC70AE0E638,SETTLED
HDFC202605239820858,122089101077,3412426,INR,2026-05-23T16:53:57.532Z,HDFC,ORD-2DAB0F7343D9,SETTLED
HDFC202605236948267,677982774566,3569909,INR,2026-05-21T11:53:57.532Z,HDFC,ORD-F988D43E6C8E,SETTLED
HDFC202605232871677,128217112385,4911707,INR,2026-05-17T23:53:57.532Z,HDFC,ORD-DE6873A2CE00,SETTLED
HDFC202605235699575,966542667022,3679317,INR,2026-05-18T09:53:57.532Z,HDFC,ORD-2C05D4D71BA1,SETTLED
HDFC202605237382607,918202960496,3919045,INR,2026-05-24T05:53:57.532Z,HDFC,ORD-C9D8D9408E91,SETTLED
HDFC202605238101945,189614031656,3872359,INR,2026-05-21T08:53:57.532Z,HDFC,ORD-110E1AD34D72,SETTLED
HDFC202605235710713,681205807611,1003306,INR,2026-05-23T19:53:57.532Z,HDFC,ORD-0DED881AD92C,SETTLED
HDFC202605233708725,056181274364,4430886,INR,2026-05-24T02:53:57.532Z,HDFC,ORD-2507142448EB,SETTLED
