UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
ICICI202606041432783,211355823395,426100,INR,2026-05-29T00:53:14.802Z,ICICI,ORD-988946BA341F,SETTLED
ICICI202606041791179,351808879735,1113471,INR,2026-05-28T22:53:14.802Z,ICICI,ORD-D1E399518372,SETTLED
ICICI202606040589356,399454307888,878806,INR,2026-06-02T15:53:14.803Z,ICICI,ORD-41180E9B0575,SETTLED
ICICI202606048835867,360207800969,1349891,INR,2026-05-29T14:53:14.803Z,ICICI,ORD-3916B43B4EB0,SETTLED
ICICI202606047281430,525597245906,2115352,INR,2026-05-30T23:53:14.803Z,ICICI,ORD-B131C57ECF8C,SETTLED
ICICI202606049496741,175871121247,398803,INR,2026-06-04T10:53:14.803Z,ICICI,ORD-E63539686633,SETTLED
ICICI202606047538040,161612914133,4955603,INR,2026-06-04T10:53:14.803Z,ICICI,ORD-1C10FB86AFA4,SETTLED
ICICI202606043199365,341126849949,267808,INR,2026-06-03T04:53:14.803Z,ICICI,ORD-C098FA83A4B6,SETTLED
ICICI202606046226856,216224866407,3684451,INR,2026-06-02T13:53:14.803Z,ICICI,ORD-033897B0FE5B,SETTLED
ICICI202606047123852,799686434530,1794760,INR,2026-05-29T18:53:14.803Z,ICICI,ORD-CF4F698FCE87,SETTLED
ICICI202606048968263,316375589157,2576725,INR,2026-06-02T06:53:14.803Z,ICICI,ORD-2E04E2B42405,SETTLED
ICICI202606041238022,982548810139,1880725,INR,2026-06-03T13:53:14.803Z,ICICI,ORD-8244DFA4B1E1,SETTLED
ICICI202606049002370,877794373162,1346025,INR,2026-06-04T01:53:14.803Z,ICICI,ORD-07179AD4A186,SETTLED
ICICI202606048991441,963558123433,4002109,INR,2026-06-04T07:53:14.803Z,ICICI,ORD-0DE8D049C5F9,SETTLED
ICICI202606041745185,308515140612,4466496,INR,2026-05-30T00:53:14.803Z,ICICI,ORD-F91DF42F67A5,SETTLED
ICICI202606040086949,054751934076,2864222,INR,2026-05-31T02:53:14.803Z,ICICI,ORD-965CC6FB439B,SETTLED
ICICI202606046433620,635737277941,2092946,INR,2026-06-01T10:53:14.803Z,ICICI,ORD-A61E80D1170E,SETTLED
