UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
KOTAK202606047504909,083822989424,2945244,INR,2026-06-04T08:00:47.332Z,KOTAK,ORD-648F00A3D316,SETTLED
KOTAK202606043984558,428547848706,4330829,INR,2026-05-30T20:00:47.332Z,KOTAK,ORD-8C2FD870FAA6,SETTLED
KOTAK202606040816529,623959872974,4297784,INR,2026-05-29T11:00:47.332Z,KOTAK,ORD-7E2FBBD74F04,SETTLED
KOTAK202606049090461,945212654036,2813777,INR,2026-06-01T01:00:47.332Z,KOTAK,ORD-DD67DD57F591,SETTLED
KOTAK202606048684558,646723692238,3329984,INR,2026-06-01T19:00:47.332Z,KOTAK,ORD-E9B5EDD3CF37,SETTLED
KOTAK202606048389836,222661902402,3981994,INR,2026-06-01T09:00:47.332Z,KOTAK,ORD-02C3A96E7DBC,SETTLED
KOTAK202606043353775,264644251468,4372882,INR,2026-05-29T05:00:47.332Z,KOTAK,ORD-BDFD75C1BCFA,SETTLED
KOTAK202606049450714,662274582608,4160433,INR,2026-05-31T10:00:47.332Z,KOTAK,ORD-A66A592ADED8,SETTLED
KOTAK202606043126192,982793131159,475805,INR,2026-05-31T14:00:47.332Z,KOTAK,ORD-94A6164CDAFF,SETTLED
KOTAK202606048700580,834121313197,2709685,INR,2026-06-01T13:00:47.332Z,KOTAK,ORD-01CE8ED63FBF,SETTLED
KOTAK202606044125674,203636794992,3205123,INR,2026-06-02T13:00:47.332Z,KOTAK,ORD-73975A152AE4,SETTLED
KOTAK202606046300115,843986547380,2904784,INR,2026-05-29T17:00:47.332Z,KOTAK,ORD-F142F302478A,SETTLED
KOTAK202606047103625,261691709333,649763,INR,2026-05-31T17:00:47.332Z,KOTAK,ORD-B39CD6ED408B,SETTLED
KOTAK202606046851111,613413689411,2368603,INR,2026-06-03T00:00:47.332Z,KOTAK,ORD-C0568150E35E,SETTLED
KOTAK202606046833351,803124782028,1335674,INR,2026-05-29T22:00:47.332Z,KOTAK,ORD-2F39E1DC5EDE,SETTLED
KOTAK202606045703488,047774192115,4280443,INR,2026-05-30T19:00:47.332Z,KOTAK,ORD-18B711D99547,SETTLED
