UTR,RRN,Amount,Currency,Settlement_Date,Bank_Name,Merchant_Ref,Status
SBI202606049772304,850667034283,921396,INR,2026-06-04T00:00:40.393Z,SBI,ORD-4108FB9E642C,SETTLED
SBI202606040332148,792632976587,1340167,INR,2026-05-31T02:00:40.393Z,SBI,ORD-35CD5D6A7051,SETTLED
SBI202606049394914,560424016903,1323777,INR,2026-05-29T22:00:40.393Z,SBI,ORD-EA9217C3B424,SETTLED
SBI202606045577904,359524864108,3675928,INR,2026-05-31T02:00:40.393Z,SBI,ORD-8B5E23015E6D,PENDING
SBI202606040147775,907999619922,2979245,INR,2026-05-29T03:00:40.393Z,SBI,ORD-6374D6152FAE,SETTLED
SBI202606045127294,435278931312,482253,INR,2026-06-01T17:00:40.393Z,SBI,ORD-7F7E43BEB6F3,SETTLED
SBI202606044666602,324231626093,2456666,INR,2026-05-30T07:00:40.393Z,SBI,ORD-79AE4AD42936,SETTLED
SBI202606044350852,926898767903,4402088,INR,2026-06-02T09:00:40.393Z,SBI,ORD-394C8DA025DE,SETTLED
SBI202606042465996,215014661292,492957,INR,2026-05-31T12:00:40.393Z,SBI,ORD-380400C9698B,SETTLED
SBI202606040147960,480997112664,4327671,INR,2026-06-04T02:00:40.393Z,SBI,ORD-D106A64DD0A4,SETTLED
SBI202606044712035,293809584903,1627805,INR,2026-06-03T23:00:40.393Z,SBI,ORD-BC0AACA51491,SETTLED
SBI202606047099763,353990797331,327907,INR,2026-05-31T20:00:40.393Z,SBI,ORD-4E115D6B1044,SETTLED
SBI202606044790643,012075935755,2759140,INR,2026-06-03T15:00:40.393Z,SBI,ORD-77154D18E55C,SETTLED
SBI202606042951675,400756722461,1351176,INR,2026-06-01T14:00:40.393Z,SBI,ORD-DEA4F54289DC,SETTLED
SBI202606043438053,632991771026,3917253,INR,2026-05-31T13:00:40.393Z,SBI,ORD-A72CF6C85F56,SETTLED
SBI202606048965294,497234527022,1525078,INR,2026-05-29T13:00:40.393Z,SBI,ORD-31CA9225F492,SETTLED
SBI202606045390710,388655494075,2544165,INR,2026-06-04T11:00:40.393Z,SBI,ORD-613BC98E3C4F,SETTLED
SBI202606046802724,347073367528,3687630,INR,2026-06-01T12:00:40.393Z,SBI,ORD-C1705FF2E34B,SETTLED
SBI202606047955456,213532594659,2715269,INR,2026-06-04T10:00:40.393Z,SBI,ORD-9A0E4459B094,SETTLED
SBI202606043256661,755610524754,3264476,INR,2026-05-29T08:00:40.393Z,SBI,ORD-846960EA4CF1,SETTLED
SBI202606048831820,788438856451,2243649,INR,2026-06-01T10:00:40.393Z,SBI,ORD-DCF7C5EDF68C,SETTLED
SBI202606047339796,759283064273,1820262,INR,2026-05-31T03:00:40.393Z,SBI,ORD-DA343764103B,SETTLED
